-- -----------------------------
-- Sample Users
-- -----------------------------
INSERT INTO users (username, email, password_hash, role)
VALUES
('admin1', 'admin@wastebin.com', '$2b$10$dummyhash', 'admin'),
('collector1', 'collector1@wastebin.com', '$2b$10$dummyhash', 'collector'),
('collector2', 'collector2@wastebin.com', '$2b$10$dummyhash', 'collector'),
('manager1', 'manager@wastebin.com', '$2b$10$dummyhash', 'manager');
INSERT INTO households (name, ward, waste_generated_per_day, location, contact_info, household_type) VALUES
('Household_1', 'Anna Nagar', 1.5, ST_SetSRID(ST_MakePoint(80.2081, 13.0829), 4326), 'hh1@email.com', 'residential'),
('Household_2', 'Anna Nagar', 1.1, ST_SetSRID(ST_MakePoint(80.2075, 13.0825), 4326), 'hh2@email.com', 'residential'),
('Household_3', 'Anna Nagar', 2.0, ST_SetSRID(ST_MakePoint(80.2085, 13.0831), 4326), 'hh3@email.com', 'residential'),
('Household_4', 'Anna Nagar', 0.8, ST_SetSRID(ST_MakePoint(80.2079, 13.0780), 4326), 'hh4@email.com', 'residential'),
('Household_5', 'Anna Nagar', 1.9, ST_SetSRID(ST_MakePoint(80.2088, 13.0775), 4326), 'hh5@email.com', 'residential'),
('Household_6', 'Anna Nagar', 1.4, ST_SetSRID(ST_MakePoint(80.2093, 13.0768), 4326), 'hh6@email.com', 'residential'),
('Household_7', 'T Nagar', 2.3, ST_SetSRID(ST_MakePoint(80.2465, 13.0270), 4326), 'hh7@email.com', 'residential'),
('Household_8', 'T Nagar', 1.0, ST_SetSRID(ST_MakePoint(80.2475, 13.0265), 4326), 'hh8@email.com', 'residential'),
('Household_9', 'T Nagar', 1.7, ST_SetSRID(ST_MakePoint(80.2480, 13.0272), 4326), 'hh9@email.com', 'residential'),
('Household_10', 'T Nagar', 2.5, ST_SetSRID(ST_MakePoint(80.2468, 13.0255), 4326), 'hh10@email.com', 'residential'),
('Household_11', 'T Nagar', 1.3, ST_SetSRID(ST_MakePoint(80.2490, 13.0160), 4326), 'hh11@email.com', 'residential'),
('Household_12', 'T Nagar', 0.9, ST_SetSRID(ST_MakePoint(80.2485, 13.0155), 4326), 'hh12@email.com', 'residential'),
('Household_13', 'Adyar', 1.6, ST_SetSRID(ST_MakePoint(80.2805, 13.0105), 4326), 'hh13@email.com', 'residential'),
('Household_14', 'Adyar', 1.2, ST_SetSRID(ST_MakePoint(80.2815, 13.0095), 4326), 'hh14@email.com', 'residential'),
('Household_15', 'Adyar', 2.1, ST_SetSRID(ST_MakePoint(80.2820, 13.0110), 4326), 'hh15@email.com', 'residential'),
('Household_16', 'Adyar', 0.7, ST_SetSRID(ST_MakePoint(80.2795, 13.0088), 4326), 'hh16@email.com', 'residential'),
('Household_17', 'Mylapore', 1.8, ST_SetSRID(ST_MakePoint(80.2915, 13.0520), 4326), 'hh17@email.com', 'residential'),
('Household_18', 'Mylapore', 1.4, ST_SetSRID(ST_MakePoint(80.2905, 13.0515), 4326), 'hh18@email.com', 'residential'),
('Household_19', 'Mylapore', 2.2, ST_SetSRID(ST_MakePoint(80.2925, 13.0525), 4326), 'hh19@email.com', 'residential'),
('Household_20', 'Mylapore', 0.6, ST_SetSRID(ST_MakePoint(80.2795, 13.0385), 4326), 'hh20@email.com', 'residential'),
('Household_21', 'Mylapore', 1.9, ST_SetSRID(ST_MakePoint(80.2785, 13.0375), 4326), 'hh21@email.com', 'residential'),
('Household_22', 'Mylapore', 1.5, ST_SetSRID(ST_MakePoint(80.2770, 13.0360), 4326), 'hh22@email.com', 'residential'),
('Household_23', 'Velachery', 1.1, ST_SetSRID(ST_MakePoint(80.2700, 12.9915), 4326), 'hh23@email.com', 'residential'),
('Household_24', 'Velachery', 2.4, ST_SetSRID(ST_MakePoint(80.2715, 12.9905), 4326), 'hh24@email.com', 'residential'),
('Household_25', 'Velachery', 1.6, ST_SetSRID(ST_MakePoint(80.2725, 12.9925), 4326), 'hh25@email.com', 'residential'),
('Household_26', 'Velachery', 1.3, ST_SetSRID(ST_MakePoint(80.2708, 12.9930), 4326), 'hh26@email.com', 'residential'),
('Household_27', 'Guindy', 1.7, ST_SetSRID(ST_MakePoint(80.2640, 12.9865), 4326), 'hh27@email.com', 'residential'),
('Household_28', 'Guindy', 0.9, ST_SetSRID(ST_MakePoint(80.2655, 12.9855), 4326), 'hh28@email.com', 'residential'),
('Household_29', 'Guindy', 2.0, ST_SetSRID(ST_MakePoint(80.2650, 12.9870), 4326), 'hh29@email.com', 'residential'),
('Household_30', 'Guindy', 1.8, ST_SetSRID(ST_MakePoint(80.2635, 12.9845), 4326), 'hh30@email.com', 'residential'),
('Household_31', 'Ashok Nagar', 1.4, ST_SetSRID(ST_MakePoint(80.2205, 13.0235), 4326), 'hh31@email.com', 'residential'),
('Household_32', 'Ashok Nagar', 2.1, ST_SetSRID(ST_MakePoint(80.2195, 13.0240), 4326), 'hh32@email.com', 'residential'),
('Household_33', 'Ashok Nagar', 1.0, ST_SetSRID(ST_MakePoint(80.2210, 13.0245), 4326), 'hh33@email.com', 'residential'),
('Household_34', 'Ashok Nagar', 1.6, ST_SetSRID(ST_MakePoint(80.2200, 13.0225), 4326), 'hh34@email.com', 'residential'),
('Household_35', 'Vadapalani', 2.2, ST_SetSRID(ST_MakePoint(80.2040, 13.0445), 4326), 'hh35@email.com', 'residential'),
('Household_36', 'Vadapalani', 1.3, ST_SetSRID(ST_MakePoint(80.2030, 13.0435), 4326), 'hh36@email.com', 'residential'),
('Household_37', 'Vadapalani', 1.9, ST_SetSRID(ST_MakePoint(80.2045, 13.0450), 4326), 'hh37@email.com', 'residential'),
('Household_38', 'Vadapalani', 0.5, ST_SetSRID(ST_MakePoint(80.2025, 13.0428), 4326), 'hh38@email.com', 'residential'),
('Household_39', 'Purasawalkam', 1.5, ST_SetSRID(ST_MakePoint(80.2248, 13.0648), 4326), 'hh39@email.com', 'residential'),
('Household_40', 'Purasawalkam', 2.0, ST_SetSRID(ST_MakePoint(80.2240, 13.0642), 4326), 'hh40@email.com', 'residential'),
('Household_41', 'Purasawalkam', 1.2, ST_SetSRID(ST_MakePoint(80.2252, 13.0652), 4326), 'hh41@email.com', 'residential'),
('Household_42', 'Purasawalkam', 1.8, ST_SetSRID(ST_MakePoint(80.2235, 13.0638), 4326), 'hh42@email.com', 'residential'),
('Household_43', 'Thiruvanmiyur', 2.4, ST_SetSRID(ST_MakePoint(80.2785, 12.9680), 4326), 'hh43@email.com', 'residential'),
('Household_44', 'Thiruvanmiyur', 1.1, ST_SetSRID(ST_MakePoint(80.2795, 12.9675), 4326), 'hh44@email.com', 'residential'),
('Household_45', 'Thiruvanmiyur', 1.6, ST_SetSRID(ST_MakePoint(80.2805, 12.9690), 4326), 'hh45@email.com', 'residential'),
('Household_46', 'Thiruvanmiyur', 2.3, ST_SetSRID(ST_MakePoint(80.2780, 12.9665), 4326), 'hh46@email.com', 'residential'),
('Household_47', 'Pallavaram', 1.4, ST_SetSRID(ST_MakePoint(80.1988, 12.9564), 4326), 'hh47@email.com', 'residential'),
('Household_48', 'Pallavaram', 1.7, ST_SetSRID(ST_MakePoint(80.1978, 12.9554), 4326), 'hh48@email.com', 'residential'),
('Household_49', 'Pallavaram', 0.9, ST_SetSRID(ST_MakePoint(80.1995, 12.9570), 4326), 'hh49@email.com', 'residential'),
('Household_50', 'Pallavaram', 2.1, ST_SetSRID(ST_MakePoint(80.1970, 12.9545), 4326), 'hh50@email.com', 'residential'),
('Household_51', 'Saidapet', 1.3, ST_SetSRID(ST_MakePoint(80.2575, 13.0045), 4326), 'hh51@email.com', 'residential'),
('Household_52', 'Saidapet', 2.2, ST_SetSRID(ST_MakePoint(80.2565, 13.0035), 4326), 'hh52@email.com', 'residential'),
('Household_53', 'Saidapet', 1.5, ST_SetSRID(ST_MakePoint(80.2580, 13.0050), 4326), 'hh53@email.com', 'residential'),
('Household_54', 'Saidapet', 0.6, ST_SetSRID(ST_MakePoint(80.2560, 13.0030), 4326), 'hh54@email.com', 'residential'),
('Household_55', 'Royapuram', 1.8, ST_SetSRID(ST_MakePoint(80.2768, 13.0772), 4326), 'hh55@email.com', 'residential'),
